ikkajo idori  ippon dori	一ヶ条 居捕	一本捕	ippon dori	one arm capture	ikkajo idori	section one sitting capture	shomen uchi	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h00m01s#t=1h00m01s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=rB0AFm1u-3I&t=0m26s#t=0m26s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=0m10s#t=0m10s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=5m15s#t=5m15s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo idori  gyaku ude dori	一ヶ条 居捕	逆腕捕	gyaku ude dori	reverse arm capture	ikkajo idori	section one sitting capture	katate mune dori	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h00m28s#t=1h00m28s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=rB0AFm1u-3I&t=0m47s#t=0m47s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=0m27s#t=0m27s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=6m11s#t=6m11s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo idori  hiji gaeshi	一ヶ条 居捕	肘返	hiji gaeshi	elbow flip	ikkajo idori	section one sitting capture	katate mune dori	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h00m42s#t=1h00m42s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=rB0AFm1u-3I&t=1m12s#t=1m12s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=0m48s#t=0m48s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=7m13s#t=7m13s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo idori  kuruma daoshi	一ヶ条 居捕	車倒	kuruma daoshi	wheel topple	ikkajo idori	section one sitting capture	yokomen uchi	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h00m49s#t=1h00m49s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=rB0AFm1u-3I&t=1m36s#t=1m36s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=1m04s#t=1m04s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=7m56s#t=7m56s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo idori  shime gaeshi	一ヶ条 居捕	絞返	shime gaeshi	choke flip	ikkajo idori	section one sitting capture	emon jime	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h00m56s#t=1h00m56s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=rB0AFm1u-3I&t=2m01s#t=2m01s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=1m16s#t=1m16s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=8m42s#t=8m42s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo idori  daki jime	一ヶ条 居捕	抱締	daki jime	hug clamp	ikkajo idori	section one sitting capture	emon jime	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h01m06s#t=1h01m06s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=rB0AFm1u-3I&t=2m31s#t=2m31s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=1m31s#t=1m31s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=9m37s#t=9m37s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo idori  karame nage	一ヶ条 居捕	搦投	karame nage	tangle throw	ikkajo idori	section one sitting capture	mune dori shomen uchi	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h01m12s#t=1h01m12s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=rB0AFm1u-3I&t=3m04s#t=3m04s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=1m47s#t=1m47s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=10m21s#t=10m21s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo idori  kote gaeshi	一ヶ条 居捕	小手返	kote gaeshi	forearm flip	ikkajo idori	section one sitting capture	ryote dori (pull)	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h01m22s#t=1h01m22s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=rB0AFm1u-3I&t=3m35s#t=3m35s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=2m08s#t=2m08s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=11m12s#t=11m12s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo idori  nukite dori	一ヶ条 居捕	抜手捕	nukite dori	pull out hand capture	ikkajo idori	section one sitting capture	ryote dori (hold)	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h01m31s#t=1h01m31s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=rB0AFm1u-3I&t=4m07s#t=4m07s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=2m25s#t=2m25s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=11m58s#t=11m58s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo idori  hiza jime	一ヶ条 居捕	膝締	hiza jime	knee clamp	ikkajo idori	section one sitting capture	ryote dori (push)	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h01m38s#t=1h01m38s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=rB0AFm1u-3I&t=4m37s#t=4m37s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=2m42s#t=2m42s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=13m05s#t=13m05s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo hanza-handachi  hanmi nage	一ヶ条 半座半立	半身投	hanmi nage	half-body throw	ikkajo hanza-handachi	section one half-sitting half-standing	migite dori (pull)	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h01m53s#t=1h01m53s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=siTa1c_JxB0&t=2m52s#t=2m52s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=3m16s#t=3m16s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=13m49s#t=13m49s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
