time	type	source	start	end	x	y	width	height	volume
0	youtube	VSrNMGvd9bY	0	115	0	0	512	392	100
3	youtube	cRTye-wq5yI	1347	1350	0	0	512	392	100
7	youtube	x7BKyi7a2gs	3847	3853	0	0	512	392	100
13	youtube	x7BKyi7a2gs	3847	3853	0	0	512	392	100
20	youtube	HTkFIcdb56M	356	366	0	0	512	392	100
31	youtube	cRTye-wq5yI	1354	1360	0	0	512	392	100
37	youtube	cRTye-wq5yI	1354	1360	0	0	512	392	100
44	youtube	XvbeltYhnps	0	6	0	0	512	392	100
50	youtube	XvbeltYhnps	0	6	0	0	512	392	100
57	youtube	KDXqImFOuM4	175	181	0	0	512	392	100
63	youtube	KDXqImFOuM4	175	181	0	0	512	392	100
70	youtube	_ln6dwX_ImI	39	50	0	0	512	392	100
81	youtube	_ln6dwX_ImI	39	50	0	0	512	392	100
93	youtube	l7VelwQqsZE	453	474	0	0	512	392	100
