intro	intro	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=0m00s#t=0m00s">video 1</A>
intro	kihon-giho shiho-nage	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=33m40s#t=33m40s">video 1</A>
intro	kihon-giho ikkajo	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=59m45s#t=59m45s">video 1</A>
intro	kihon-giho nikajo	<A href="http://www.youtube.com/watch?v=v0tuWpU3tB4&t=0m55s#t=0m55s">video 1</A>
intro	kihon-giho sankajo	<A href="http://www.youtube.com/watch?v=v0tuWpU3tB4&t=56m15s#t=56m15s">video 1</A>
intro	kihon-giho yonkajo	<A href="http://www.youtube.com/watch?v=v0tuWpU3tB4&t=1h51m10s#t=1h51m10s">video 1</A>
intro	sokumen irimi-nage	<A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=1m01s#t=1m01s">video 1</A>
intro	shomen irimi-nage	<A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=41m36s#t=41m36s">video 1</A>
intro	hiji-shime	<A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=1h12m39s#t=1h12m39s">video 1</A>
intro	hiji-ate-kokyu-nage	<A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=1h46m17s#t=1h46m17s">video 1</A>
intro	kote-gaeshi	<A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=2h15m14s#t=2h15m14s">video 1</A>
intro	tenchi-nage	<A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=3h01m48s#t=3h01m48s">video 1</A>
intro	kokyu-ho	<A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=3h07m20s#t=3h07m20s">video 1</A>
intro	jiyu-waza	<A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=3h16m12s#t=3h16m12s">video 1</A> <br> <A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=3h25m30s#t=3h25m30s">video 2</A>
intro	finale	<A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=3h27m03s#t=3h27m03s">video 1</A>
intro	credits	<A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=3h28m10s#t=3h28m10s">video 1</A>
8 kyu	rei ho	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=6m09s#t=6m09s">video 1</A>
