持ち	mochi	grasp
技	waza	technique
一	ichi	1
二	ni	2
押え	osae	pin
座り	suwari	sitting
投げ	nage	throw
打ち	uchi	strike
正面	shomen	front
両手	ryote	two-hand
肘	hiji	elbow
片手	katate	one-hand
肩	kata	shoulder
入身	irimi	entering
横面	yokomen	side
一ケ条	ikkajo	first-control
三ケ条	sankajo	third-control
後ろ	ushiro	rear
二ケ条	nikajo	second-control
締め	shime	tighten
呼吸	kokyu	breath
側面	sokumen	side
四ケ条	yonkajo	fourth-control
胸	mune	chest
当て	ate	strike
当て身	atemi	strike
小手	kote	forearm
返し	gaeshi	reversal
自由技	jiyu-waza	free-techniques
突き	tsuki	thrust
四方	shiho	four-direction
襟	eri	neck
両肘	ryohiji	two-elbow
両肩	ryokata	two-shoulder
五技	go-waza	five-techniques
法	ho	technique
綾	aya	cross
天地	tenchi	heaven-and-earth
半身半立ち	hanmi-handachi	one-sitting-one-standing
取り	dori	take
三	san	3
四	yon	4
五	go	5
短刀	tanto	knife
剣	ken	sword
取り	tori	take
多数	tasu	multiple
首	kubi	neck
指定	shitei	specified
合気	aiki	aiki
合気道	aikido	aikido
養神館	yoshinkan	yoshinkan
修道館	shudokan	shudokan
大東流	daito-ryu	daito-ryu
柔術	jujutsu	jujutsu
武道	budo	budo
