intro	intro	https://aiki.info/y1?t=0m00s#t=0m00s
intro	kihon-giho shiho-nage	https://aiki.info/y1?t=33m40s#t=33m40s
intro	kihon-giho ikkajo	https://aiki.info/y1?t=59m45s#t=59m45s
intro	kihon-giho nikajo	https://aiki.info/y2?t=0m55s#t=0m55s
intro	kihon-giho sankajo	https://aiki.info/y2?t=56m15s#t=56m15s
intro	kihon-giho yonkajo	https://aiki.info/y2?t=1h51m10s#t=1h51m10s
intro	sokumen irimi-nage	https://aiki.info/y3?t=1m01s#t=1m01s
intro	shomen irimi-nage	https://aiki.info/y3?t=41m36s#t=41m36s
intro	hiji-shime	https://aiki.info/y3?t=1h12m39s#t=1h12m39s
intro	hiji-ate-kokyu-nage	https://aiki.info/y3?t=1h46m17s#t=1h46m17s
intro	kote-gaeshi	https://aiki.info/y3?t=2h15m14s#t=2h15m14s
intro	tenchi-nage	https://aiki.info/y3?t=3h01m48s#t=3h01m48s
intro	kokyu-ho	https://aiki.info/y3?t=3h07m20s#t=3h07m20s
intro	jiyu-waza	https://aiki.info/y3?t=3h16m12s#t=3h16m12s https://aiki.info/y3?t=3h25m30s#t=3h25m30s
intro	finale	https://aiki.info/y3?t=3h27m03s#t=3h27m03s
intro	credits	https://aiki.info/y3?t=3h28m10s#t=3h28m10s
10 kyu	rei ho	https://aiki.info/y1?t=6m09s#t=6m09s
10 kyu	kamae	https://aiki.info/y1?t=0m55s#t=0m55s
10 kyu	seiza ho	https://aiki.info/y1?t=3m56s#t=3m56s
10 kyu	shikko ho	https://aiki.info/y1?t=7m17s#t=7m17s
10 kyu	ukemi	https://aiki.info/y1?t=28m24s#t=28m24s
10 kyu	koho ukemi	https://aiki.info/y1?t=29m02s#t=29m02s
10 kyu	koho kaiten ukemi	https://aiki.info/y1?t=30m21s#t=30m21s
10 kyu	zenpo ukemi	https://aiki.info/y1?t=31m00s#t=31m00s
10 kyu	zenpo kaiten ukemi	https://aiki.info/y1?t=31m18s#t=31m18s
10 kyu	kihon dosa	https://aiki.info/y1?t=10m15s#t=10m15s
10 kyu	tai no henko (1)	https://aiki.info/y1?t=10m57s#t=10m57s
10 kyu	tai no henko (2)	https://aiki.info/y1?t=13m36s#t=13m36s
10 kyu	hiriki no yosei (1)	https://aiki.info/y1?t=16m38s#t=16m38s
10 kyu	hiriki no yosei (2)	https://aiki.info/y1?t=18m38s#t=18m38s
10 kyu	shumatsu dosa (1)	https://aiki.info/y1?t=20m40s#t=20m40s
10 kyu	shumatsu dosa (2)	https://aiki.info/y1?t=24m08s#t=24m08s
8 kyu	kamae with partner	https://aiki.info/y1?t=3m05s#t=3m05s
8 kyu	koho ukemi application	https://aiki.info/y1?t=29m39s#t=29m39s
8 kyu	zenpo kaiten ukemi application	https://aiki.info/y1?t=31m57s#t=31m57s
8 kyu	katate-mochi shiho-nage (1)	https://aiki.info/y1?t=34m21s#t=34m21s
8 kyu	katate-mochi shiho-nage (2)	https://aiki.info/y1?t=36m40s#t=36m40s
